Periods,Thermal variable cost,Discharging power cost,Charging power cost,P demand response,Q demand response,Total Cost
1.0,1335.7,0.0,-0.0,0.0,0.0,1335.7
2.0,1265.3,0.0,-0.0,0.0,0.0,1265.3
3.0,882.53,0.0,-0.0,0.0,0.0,882.53
4.0,1285.81,0.0,-0.0,0.0,0.0,1285.81
5.0,1343.47,0.0,-0.0,0.0,0.0,1343.47
6.0,1438.78,0.0,-0.0,0.0,0.0,1438.78
7.0,1091.39,0.0,-0.0,0.0,0.0,1091.39
8.0,1453.63,0.0,-0.0,0.0,0.0,1453.63
9.0,1277.36,0.0,-0.0,0.0,0.0,1277.36
10.0,0.0,0.0,-0.0,0.0,0.0,0.0
11.0,0.0,0.0,-0.0,0.0,0.0,0.0
12.0,0.0,0.0,-0.0,0.0,0.0,0.0
13.0,2500.0,0.0,-0.0,0.0,0.0,2500.0
14.0,458.04,0.0,-0.0,0.0,0.0,458.04
15.0,685.14,0.0,-0.0,0.0,0.0,685.14
16.0,292.14,0.0,-0.0,0.0,0.0,292.14
17.0,2456.19,0.0,-0.0,0.0,0.0,2456.19
18.0,524.13,0.0,-0.0,0.0,0.0,524.13
19.0,1978.09,0.0,-0.0,0.0,0.0,1978.09
20.0,294.1,0.0,-0.0,0.0,0.0,294.1
21.0,0.0,0.0,-0.0,0.0,0.0,0.0
22.0,3601.8,0.0,-0.0,0.0,0.0,3601.8
23.0,6242.85,0.0,-0.0,0.0,0.0,6242.85
24.0,6054.73,0.0,-0.0,0.0,0.0,6054.73
