Periods,Thermal generation(MW),Renewable generation(MW),BESS discharging(MW),Demand response(MW),Load(MW),BESS charging(MW),Losses(MW),Error
1.0,133.57,97.28,59.78,0.0,290.63,0.0,0.0,0.0
2.0,126.53,104.12,58.95,0.0,289.6,0.0,0.0,-0.0
3.0,88.25,105.64,93.08,0.0,286.97,0.0,0.0,0.0
4.0,128.58,101.46,56.94,0.0,286.98,0.0,0.0,0.0
5.0,134.35,95.76,58.95,0.0,289.06,0.0,0.0,-0.0
6.0,143.88,86.64,63.81,0.0,294.33,0.0,0.0,-0.0
7.0,109.14,76.0,121.24,0.0,306.38,0.0,0.0,-0.0
8.0,145.36,77.58,91.56,0.0,314.5,0.0,0.0,0.0
9.0,127.74,179.88,14.56,0.0,322.18,0.0,0.0,-0.0
10.0,0.0,428.38,0.0,0.0,332.84,95.54,0.0,-0.0
11.0,0.0,469.18,0.0,0.0,344.73,124.44,0.0,0.01
12.0,0.0,569.38,0.0,0.0,358.35,211.02,0.0,0.01
13.0,250.0,699.06,0.0,0.0,402.65,546.41,0.0,-0.0
14.0,45.8,706.64,0.0,0.0,409.58,342.87,0.0,-0.01
15.0,68.51,623.72,0.0,0.0,415.9,276.34,0.0,-0.0
16.0,29.21,469.38,0.0,0.0,420.38,78.22,0.0,-0.0
17.0,245.62,250.98,0.0,0.0,422.5,74.1,0.0,-0.0
18.0,52.41,45.08,393.03,0.0,490.52,0.0,0.0,-0.0
19.0,197.81,20.52,264.91,0.0,483.24,0.0,0.0,0.0
20.0,29.41,8.74,499.35,0.0,537.5,0.0,0.0,-0.0
21.0,0.0,1.9,456.78,0.0,458.68,0.0,0.0,-0.01
22.0,60.03,1.14,363.62,0.0,424.79,0.0,0.0,-0.0
23.0,299.29,0.0,87.0,0.0,386.29,0.0,0.0,-0.0
24.0,285.36,0.0,81.36,0.0,366.71,0.0,0.0,0.01
