resource,hour,generation
fuel,1,133.57
solar,1,0.0
wind,1,97.28
_discharge_bess,1,59.78
_charge_bess,1,0.0
curtailment,1,0.0
fuel,2,126.53
solar,2,0.0
wind,2,104.12
_discharge_bess,2,58.95
_charge_bess,2,0.0
curtailment,2,0.0
fuel,3,88.25
solar,3,0.0
wind,3,105.64
_discharge_bess,3,93.08
_charge_bess,3,0.0
curtailment,3,0.0
fuel,4,128.58
solar,4,0.0
wind,4,101.46
_discharge_bess,4,56.94
_charge_bess,4,0.0
curtailment,4,0.0
fuel,5,134.35
solar,5,0.0
wind,5,95.76
_discharge_bess,5,58.95
_charge_bess,5,0.0
curtailment,5,0.0
fuel,6,143.88
solar,6,0.0
wind,6,86.64
_discharge_bess,6,63.81
_charge_bess,6,0.0
curtailment,6,0.0
fuel,7,109.14
solar,7,0.0
wind,7,76.0
_discharge_bess,7,121.24
_charge_bess,7,0.0
curtailment,7,0.0
fuel,8,145.36
solar,8,1.2
wind,8,76.38
_discharge_bess,8,91.56
_charge_bess,8,0.0
curtailment,8,0.0
fuel,9,127.74
solar,9,90.2
wind,9,89.68
_discharge_bess,9,14.56
_charge_bess,9,0.0
curtailment,9,0.0
fuel,10,0.0
solar,10,317.8
wind,10,110.58
_discharge_bess,10,0.0
_charge_bess,10,95.54
curtailment,10,0.0
fuel,11,0.0
solar,11,373.8
wind,11,95.38
_discharge_bess,11,0.0
_charge_bess,11,124.44
curtailment,11,0.0
fuel,12,0.0
solar,12,489.2
wind,12,80.18
_discharge_bess,12,0.0
_charge_bess,12,211.02
curtailment,12,0.0
fuel,13,250.0
solar,13,635.6
wind,13,63.46
_discharge_bess,13,0.0
_charge_bess,13,546.41
curtailment,13,0.0
fuel,14,45.8
solar,14,661.8
wind,14,44.84
_discharge_bess,14,0.0
_charge_bess,14,342.87
curtailment,14,0.0
fuel,15,68.51
solar,15,591.8
wind,15,31.92
_discharge_bess,15,0.0
_charge_bess,15,276.34
curtailment,15,0.0
fuel,16,29.21
solar,16,446.2
wind,16,23.18
_discharge_bess,16,0.0
_charge_bess,16,78.22
curtailment,16,0.0
fuel,17,245.62
solar,17,231.6
wind,17,19.38
_discharge_bess,17,0.0
_charge_bess,17,74.1
curtailment,17,0.0
fuel,18,52.41
solar,18,23.8
wind,18,21.28
_discharge_bess,18,393.03
_charge_bess,18,0.0
curtailment,18,0.0
fuel,19,197.81
solar,19,0.0
wind,19,20.52
_discharge_bess,19,264.91
_charge_bess,19,0.0
curtailment,19,0.0
fuel,20,29.41
solar,20,0.0
wind,20,8.74
_discharge_bess,20,499.35
_charge_bess,20,0.0
curtailment,20,0.0
fuel,21,0.0
solar,21,0.0
wind,21,1.9
_discharge_bess,21,456.78
_charge_bess,21,0.0
curtailment,21,0.0
fuel,22,60.03
solar,22,0.0
wind,22,1.14
_discharge_bess,22,363.62
_charge_bess,22,0.0
curtailment,22,0.0
fuel,23,299.29
solar,23,0.0
wind,23,0.0
_discharge_bess,23,87.0
_charge_bess,23,0.0
curtailment,23,0.0
fuel,24,285.36
solar,24,0.0
wind,24,0.0
_discharge_bess,24,81.36
_charge_bess,24,0.0
curtailment,24,0.0
