Periods,Thermal generation(MVAR),Renewable generation(MVAR),BESS discharging(MVAR),Demand response(MVAR),Load(MVAR),BESS charging(MVAR),Losses(MVAR),Error
1.0,0.0,0.0,0.0,0.0,46.66,0.0,0.0,-46.66
2.0,0.0,0.0,0.0,0.0,46.49,0.0,0.0,-46.49
3.0,0.0,0.0,0.0,0.0,46.06,0.0,0.0,-46.06
4.0,0.0,0.0,0.0,0.0,46.06,0.0,0.0,-46.06
5.0,0.0,0.0,0.0,0.0,46.39,0.0,0.0,-46.39
6.0,0.0,0.0,0.0,0.0,47.22,0.0,0.0,-47.22
7.0,0.0,0.0,0.0,0.0,49.18,0.0,0.0,-49.18
8.0,0.0,0.0,0.0,0.0,50.48,0.0,0.0,-50.48
9.0,0.0,0.0,0.0,0.0,51.73,0.0,0.0,-51.73
10.0,0.0,0.0,0.0,0.0,53.44,0.0,0.0,-53.44
11.0,0.0,0.0,0.0,0.0,55.32,0.0,0.0,-55.32
12.0,0.0,0.0,0.0,0.0,57.54,0.0,0.0,-57.54
13.0,0.0,0.0,0.0,0.0,64.67,0.0,0.0,-64.67
14.0,0.0,0.0,0.0,0.0,65.8,0.0,0.0,-65.8
15.0,0.0,0.0,0.0,0.0,66.81,0.0,0.0,-66.81
16.0,0.0,0.0,0.0,0.0,67.54,0.0,0.0,-67.54
17.0,0.0,0.0,0.0,0.0,67.89,0.0,0.0,-67.89
18.0,0.0,0.0,0.0,0.0,78.5,0.0,0.0,-78.5
19.0,0.0,0.0,0.0,0.0,77.31,0.0,0.0,-77.31
20.0,0.0,0.0,0.0,0.0,86.31,0.0,0.0,-86.31
21.0,0.0,0.0,0.0,0.0,73.27,0.0,0.0,-73.27
22.0,0.0,0.0,0.0,0.0,67.41,0.0,0.0,-67.41
23.0,0.0,0.0,0.0,0.0,61.72,0.0,0.0,-61.72
24.0,0.0,0.0,0.0,0.0,58.84,0.0,0.0,-58.84
