periods,bus 1,bus 2,bus 3,bus 4,bus 5,bus 6,bus 7,bus 8,bus 9
1.0,0.0,10.09,11.58,4.41,10.18,11.58,12.38,10.09,10.58
2.0,0.0,9.89,11.35,4.18,9.93,11.35,12.16,9.89,10.35
3.0,0.0,8.73,4.41,2.91,6.67,4.41,8.57,8.73,9.08
4.0,0.0,10.04,11.43,4.24,9.97,11.43,12.26,10.04,10.42
5.0,0.0,10.12,11.57,4.43,10.16,11.57,12.38,10.12,10.61
6.0,0.0,10.19,11.8,4.75,10.5,11.8,12.54,10.19,10.92
7.0,0.0,8.57,3.1,3.6,6.88,3.1,8.04,8.57,9.77
8.0,0.0,9.42,9.78,4.8,10.07,9.78,11.37,9.42,10.97
9.0,0.0,8.56,7.32,4.22,9.25,8.24,10.27,8.56,10.39
10.0,0.0,-9.38,-11.61,0.0,4.19,-8.11,-6.94,-9.38,1.66
11.0,0.0,-11.03,-12.57,0.0,3.75,-8.55,-8.07,-11.03,1.31
12.0,0.0,-4.4,-17.17,0.0,0.25,-12.05,-5.68,-4.4,3.73
13.0,0.0,7.56,0.52,8.25,19.14,6.84,9.58,7.56,13.86
14.0,0.0,-12.33,-13.71,1.51,5.09,-7.21,-7.84,-12.33,2.74
15.0,0.0,-2.72,-15.16,2.26,2.95,-9.35,-3.09,-2.72,6.59
16.0,0.0,-11.4,-15.12,0.96,1.74,-10.56,-8.62,-11.4,2.85
17.0,0.0,8.28,6.14,8.11,15.74,8.65,10.88,8.28,14.28
18.0,0.0,-1.9,-9.34,1.73,-1.07,-9.05,-2.02,-1.9,7.9
19.0,0.0,3.15,6.48,6.53,11.62,6.48,7.34,3.15,12.7
20.0,0.0,-3.88,-2.67,0.97,-3.76,-2.67,-0.33,-3.88,7.14
21.0,0.0,-2.61,-10.26,0.0,-6.71,-10.26,-3.23,-2.61,6.17
22.0,0.0,-4.54,-10.65,0.0,-6.75,-10.65,-3.62,-2.39,6.17
23.0,0.0,6.1,12.87,7.73,13.69,12.87,12.4,8.43,13.9
24.0,0.0,7.33,10.56,7.3,12.56,10.56,12.11,9.62,13.48
